scan_id,show,ticket_type,amount,scanned_at
TS1060,Sunset Jazz Trio,GA,29,2025-11-01 19:08
TS1071,Latin Fire Night,presale,27,2025-11-08 19:16
TS1021,Latin Fire Night,presale,27,2025-09-27 19:19
TS1068,Latin Fire Night,VIP,53,2025-11-08 19:05
TS1102,Open Mic Underground,GA,17,2025-12-12 19:07
TS1055,Open Mic Underground,GA,16,2025-10-25 19:21
TS1034,Broadway Bites,VIP,68,2025-10-11 19:04
TS1069,Latin Fire Night,GA,31,2025-11-08 19:11
TS1082,Midnight Comedy Hour,presale,31,2025-11-15 19:32
TS1019,Latin Fire Night,GA,32,2025-09-27 19:07
TS1058,Open Mic Underground,comp,,2025-10-25 19:34
TS1106,Open Mic Underground,VIP,37,2025-12-12 19:21
TS1110,Sunset Jazz Trio,GA,29,2025-12-19 19:08
TS1047,Electric Pulse,GA,41,2025-10-18 19:26
TS1038,Broadway Bites,GA,45,2025-10-11 19:28
TS1011,Sunset Jazz Trio,GA,29,2025-09-19 19:16
TS1061,Sunset Jazz Trio,GA,29,2025-11-01 19:11
TS1097,Electric Pulse,GA,41,2025-12-04 19:28
TS1109,Sunset Jazz Trio,VIP,49,2025-12-19 19:05
TS1085,Broadway Bites,GA,45,2025-11-22 19:06
TS1080,Midnight Comedy Hour,GA,37,2025-11-15 19:23
TS1027,Midnight Comedy Hour,GA,38,2025-10-03 19:10
TS1020,Latin Fire Night,GA,32,2025-09-27 19:12
TS1057,Open Mic Underground,presale,14,2025-10-25 19:29
TS1089,Broadway Bites,VIP,66,2025-11-22 19:21
TS1008,Open Mic Underground,comp,,2025-09-12 19:39
TS1043,Electric Pulse,VIP,62,2025-10-18 19:04
TS1088,Broadway Bites,GA,45,2025-11-22 19:16
TS1002,Open Mic Underground,GA,17,2025-09-12 19:12
TS1030,Midnight Comedy Hour,GA,38,2025-10-03 19:25
TS1005,Open Mic Underground,GA,19,2025-09-12 19:26
TS1041,Broadway Bites,comp,comp,2025-10-11 19:41
TS1023,Latin Fire Night,VIP,53,2025-09-27 19:29
TS1045,Electric Pulse,GA,42,2025-10-18 19:14
TS1076,Midnight Comedy Hour,VIP,57,2025-11-15 19:02
TS1042,Broadway Bites,GA,46,2025-10-11 19:47
TS1094,Electric Pulse,GA,40,2025-12-04 19:11
TS1002,Open Mic Underground,GA,17,2025-09-12 19:12
TS1074,Latin Fire Night,presale,29,2025-11-08 19:25
TS1009,Sunset Jazz Trio,VIP,50,2025-09-19 19:07
TS1081,Midnight Comedy Hour,VIP,57,2025-11-15 19:27
TS1004,Open Mic Underground,presale,12,2025-09-12 19:21
TS1092,Broadway Bites,GA,46,2025-11-22 19:36
TS1006,Open Mic Underground,VIP,38,2025-09-12 19:28
TS1040,Broadway Bites,presale,40,2025-10-11 19:36
TS1070,Latin Fire Night,GA,32,2025-11-08 19:13
TS1086,Broadway Bites,GA,47,2025-11-22 19:09
TS1018,Latin Fire Night,VIP,53,2025-09-27 19:05
TS1044,Electric Pulse,GA,42,2025-10-18 19:07
TS1108,Open Mic Underground,comp,,2025-12-12 19:33
TS1007,Open Mic Underground,presale,13,2025-09-12 19:32
TS1101,Open Mic Underground,VIP,37,2025-12-12 19:05
TS1111,Sunset Jazz Trio,GA,30,2025-12-19 19:14
TS1090,Broadway Bites,presale,40,2025-11-22 19:27
TS1015,Sunset Jazz Trio,presale,24,2025-09-19 19:35
TS1113,Sunset Jazz Trio,GA,30,2025-12-19 19:20
TS1036,Broadway Bites,GA,45,2025-10-11 19:15
TS1098,Electric Pulse,VIP,62,2025-12-04 19:32
TS1078,Midnight Comedy Hour,GA,36,2025-11-15 19:12
TS1075,Latin Fire Night,comp,n/a,2025-11-08 19:30
TS1014,Sunset Jazz Trio,VIP,51,2025-09-19 19:32
TS1017,Sunset Jazz Trio,GA,30,2025-09-19 19:46
TS1077,Midnight Comedy Hour,GA,38,2025-11-15 19:05
TS1032,Midnight Comedy Hour,presale,31,2025-10-03 19:31
TS1013,Sunset Jazz Trio,GA,29,2025-09-19 19:28
TS1073,Latin Fire Night,VIP,54,2025-11-08 19:22
TS1095,Electric Pulse,GA,42,2025-12-04 19:17
TS1039,Broadway Bites,VIP,66,2025-10-11 19:30
TS1049,Electric Pulse,presale,36,2025-10-18 19:35
TS1112,Sunset Jazz Trio,presale,24,2025-12-19 19:18
TS1100,Electric Pulse,comp,n/a,2025-12-04 19:37
TS1063,Sunset Jazz Trio,GA,28,2025-11-01 19:24
TS1062,Sunset Jazz Trio,presale,25,2025-11-01 19:17
TS1066,Sunset Jazz Trio,comp,comp,2025-11-01 19:39
TS1093,Electric Pulse,VIP,62,2025-12-04 19:07
